Specification of terrain components							
TC-ID	fraction	slope[%]	position[-]	beta_fac	sdr_tc	f_diff2conc	f_conc2diff
114	0.12	4.03	2	1	1	0.16958758	0.891547561
115	0.11	13.43	1	1	1	0.19271543	0.877014535
116	0.15	4	5	1	1	0.136431923	0.880250756
117	0.52	9.24	4	1	1	0.0887158	0.905359313
118	0.02	3.66	3	1	1	0.441202068	0.700631036
119	0.22	13.01	2	1	1	0.093024612	0.923607957
120	0.09	6.89	1	1	1	0.166806739	0.89918574
121	0.37	11.01	5	1	1	0.086945149	0.905491132
122	0.46	5.04	4	1	1	0.07049528	0.927001197
123	0.04	14.14	3	1	1	0.269356853	0.835751084
124	0.06	2.91	2	1	1	0.199002712	0.869934585
125	0.07	10.76	1	1	1	0.176022297	0.89312926
126	0.05	10.3	5	1	1	0.210343987	0.856994785
127	0.56	9.53	4	1	1	0.089665019	0.902282864
128	0.16	7.15	3	1	1	0.105302532	0.919883804
129	0.04	3.07	2	1	1	0.287904044	0.816995387
130	0.19	7.28	1	1	1	0.100087167	0.921856381
131	0.39	16.96	5	1	1	0.158222988	0.853400376
132	0.16	35.99	4	1	1	0.181260868	0.879998942
133	0.04	4.26	3	1	1	0.487606737	0.654392753
134	0.12	35.07	2	1	1	0.246026406	0.85165026
135	0.29	6.83	1	1	1	0.140636889	0.904295734
136	0.37	5.21	5	1	1	0.201134436	0.848048167
137	0.24	23.58	4	1	1	0.21011508	0.851671413
138	0.22	34.12	3	1	1	0.210544785	0.87171656
139	0.08	22.48	2	1	1	0.426409275	0.723586953
140	0.09	31.86	1	1	1	0.405986018	0.737623992
141	0.113402062	6.4	4	1	1	0.130515351	0.897272996
142	0.18556701	0.5	3	1	1	0.109964722	0.917011248
143	0.350515464	6.67	2	1	1	0.085559285	0.914478417
144	0.350515464	14.67	1	1	1	0.077678853	0.930340901
146	0.57	3.64	5	1	1	0.340570632	0.784280864
147	0.16	27.92	4	1	1	0.079222595	0.914099963
148	0.04	70.24	3	1	1	0.110630137	0.917232137
149	0.06	28.47	2	1	1	0.338634417	0.774355459
150	0.17	0.5	1	1	1	0.093712955	0.943145082
151	0.33	8.6	5	1	1	0.130052603	0.878139708
152	0.16	14.29	4	1	1	0.138555034	0.882685617
153	0.04	33.35	3	1	1	0.348594887	0.780105432
154	0.44	13.65	2	1	1	0.096197953	0.910899804
155	0.03	23.73	1	1	1	0.452135768	0.697215572
156	0.17	14.88	5	1	1	0.151538381	0.863098337
157	0.3	22.37	4	1	1	0.103661295	0.907004701
158	0.04	43.55	3	1	1	0.361002634	0.773430411
159	0.08	24.96	2	1	1	0.219157702	0.872669977
160	0.41	12.25	1	1	1	0.086656379	0.919525505
161	0.05	32.52	5	1	1	0.551855521	0.559538357
162	0.1	5.86	4	1	1	0.371368245	0.75078961
163	0.34	0.37	3	1	1	0.171330811	0.842136362
164	0.3	14.95	2	1	1	0.153983072	0.877701777
165	0.21	18.99	1	1	1	0.183879017	0.887609718
166	0.19	5.03	5	1	1	0.152843933	0.876224471
167	0.1	17.89	4	1	1	0.187193765	0.858059143
168	0.04	8.74	3	1	1	0.334113617	0.777576453
169	0.12	23.58	2	1	1	0.163951364	0.8918024
170	0.55	6.75	1	1	1	0.092390693	0.922713832
171	0.47	15.02	5	1	1	0.162685964	0.858302792
172	0.12	0.61	4	1	1	0.275750758	0.829594591
173	0.22	24.25	3	1	1	0.184957851	0.879762273
174	0.16	15.43	2	1	1	0.239426242	0.864775668
175	0.03	49.79	1	1	1	0.628176277	0.536842191
176	0.13	5.7	5	1	1	0.270245888	0.799786727
177	0.2	13.73	4	1	1	0.190412279	0.842702943
178	0.56	20.48	3	1	1	0.109417647	0.896006964
