discharge [m?/s]									
YYYY	MM	DD	HH	480	0	0	0	0	0
YYYY	MM	DD	HH	284792	0	0	0	0	0
YYYY	MM	DD	HH	4674623	0	0	0	0	0
YYYY	MM	DD	HH	Capella	Cabecera	Carrasquero	Ceguera	Villacarli	Lascuarre
2009	4	3	0	2.69	-9999	-9999	-9999	-9999	-9999
2009	4	4	0	2.56	-9999	-9999	-9999	-9999	-9999
2009	4	5	0	2.6	-9999	-9999	-9999	-9999	-9999
2009	4	6	0	2.79	-9999	-9999	-9999	-9999	-9999
2009	4	7	0	18.38	-9999	-9999	-9999	-9999	-9999
2009	4	8	0	21.13	-9999	-9999	-9999	-9999	-9999
2009	4	9	0	14.11	-9999	-9999	-9999	-9999	-9999
2009	4	10	0	12.52	-9999	-9999	-9999	-9999	-9999
2009	4	11	0	32.23	-9999	-9999	-9999	-9999	-9999
2009	4	12	0	23.19	-9999	-9999	-9999	-9999	-9999
2009	4	13	0	16.79	-9999	-9999	-9999	-9999	-9999
2009	4	14	0	13.83	-9999	-9999	-9999	-9999	-9999
2009	4	15	0	19.83	-9999	-9999	-9999	-9999	-9999
2009	4	16	0	20.02	-9999	-9999	-9999	-9999	-9999
2009	4	17	0	17.96	-9999	-9999	-9999	-9999	-9999
2009	4	18	0	15.51	-9999	-9999	-9999	-9999	-9999
2009	4	19	0	13.54	-9999	-9999	-9999	-9999	-9999
2009	4	20	0	14.49	-9999	-9999	-9999	-9999	-9999
2009	4	21	0	11.91	-9999	-9999	-9999	-9999	-9999
2009	4	22	0	10.69	-9999	-9999	-9999	-9999	-9999
2009	4	23	0	10.22	-9999	-9999	-9999	-9999	-9999
2009	4	24	0	9.95	-9999	-9999	-9999	-9999	-9999
2009	4	25	0	9.74	-9999	-9999	-9999	-9999	-9999
2009	4	26	0	19.18	-9999	-9999	-9999	-9999	-9999
2009	4	27	0	19.26	-9999	-9999	-9999	-9999	-9999
2009	4	28	0	16.48	-9999	-9999	-9999	-9999	-9999
2009	4	29	0	13.84	-9999	-9999	-9999	-9999	-9999
2009	4	30	0	12.12	-9999	-9999	-9999	-9999	-9999
2009	5	1	0	11.36	-9999	-9999	-9999	-9999	-9999
2009	5	2	0	10.34	-9999	-9999	-9999	-9999	-9999
2009	5	3	0	9.83	-9999	-9999	-9999	-9999	-9999
2009	5	4	0	9.44	-9999	-9999	-9999	-9999	-9999
2009	5	5	0	8.72	-9999	-9999	-9999	-9999	-9999
2009	5	6	0	8.73	-9999	-9999	-9999	-9999	-9999
2009	5	7	0	8.21	-9999	-9999	-9999	-9999	-9999
2009	5	8	0	8.57	-9999	-9999	-9999	-9999	-9999
2009	5	9	0	7.84	-9999	-9999	-9999	-9999	-9999
2009	5	10	0	7.44	-9999	-9999	-9999	-9999	-9999
2009	5	11	0	8.92	-9999	-9999	-9999	-9999	-9999
2009	5	12	0	9.69	-9999	-9999	-9999	-9999	-9999
2009	5	13	0	8.68	-9999	-9999	-9999	-9999	-9999
2009	5	14	0	10.87	-9999	-9999	-9999	-9999	-9999
2009	5	15	0	11.63	-9999	-9999	-9999	-9999	-9999
2009	5	16	0	8.83	-9999	-9999	-9999	-9999	-9999
2009	5	17	0	7.49	-9999	-9999	-9999	-9999	-9999
