Specification of terrain components							
TC-ID	fraction	slope[%]	position[-]	beta_fac	sdr_tc	f_diff2conc	f_conc2diff
118	0.2	31.43	3	1	1	0.866146969	0.207343464
117	0.22	21.06	4	1	1	0.832658748	0.215262642
116	0.17	7.72	5	1	1	0.799093076	0.290026197
125	0.03	18.81	1	1	1	0.694032723	0.452703828
124	0.6	19.1	2	1	1	0.900688869	0.094681029
123	0.2	14.94	3	1	1	0.89503066	0.131192529
122	0.12	3.99	4	1	1	0.856831093	0.177465382
121	0.05	8.84	5	1	1	0.748774939	0.353947704
130	0.21	24.65	1	1	1	0.885336231	0.183354105
129	0.04	3.68	2	1	1	0.662903444	0.529222193
128	0.04	31.81	3	1	1	0.648367638	0.525936296
127	0.42	18.48	4	1	1	0.888528716	0.121280055
126	0.29	10.96	5	1	1	0.848990274	0.178244363
135	0.45	16.21	1	1	1	0.931499581	0.082661972
134	0.2	27.38	2	1	1	0.912660051	0.120153447
133	0.24	21.95	3	1	1	0.906626524	0.114286681
132	0.06	33.58	4	1	1	0.834016025	0.264441091
131	0.05	18.05	5	1	1	0.803950946	0.307370347
140	0.13	32.76	1	1	1	0.896964085	0.176084753
139	0.34	30.6	2	1	1	0.923184323	0.092278276
138	0.18	26.74	3	1	1	0.905790934	0.128225311
137	0.26	20.11	4	1	1	0.892701036	0.115568954
136	0.09	11.19	5	1	1	0.862990655	0.205309718
145	0.43	21.41	1	1	1	0.903340729	0.113873407
144	0.1	13.19	2	1	1	0.835302619	0.266340453
143	0.04	25.17	3	1	1	0.680641191	0.470092421
142	0.22	17.04	4	1	1	0.872239713	0.16135002
141	0.21	8.63	5	1	1	0.847628402	0.19963432
150	0.09	17.93	1	1	1	0.770349286	0.33937067
149	0.02	39.7	2	1	1	0.465517564	0.69016794
148	0.2	21.95	3	1	1	0.885855991	0.164310483
147	0.3	11.15	4	1	1	0.871485605	0.141270148
146	0.39	3.11	5	1	1	0.859645446	0.163314255
155	0.29	17.35	1	1	1	0.903286089	0.153766759
154	0.08	31.17	2	1	1	0.752793782	0.38638925
153	0.12	19.08	3	1	1	0.82990283	0.289430806
152	0.34	32.51	4	1	1	0.87553413	0.143807801
151	0.17	19.23	5	1	1	0.821864857	0.245797396
160	0.07	16.81	1	1	1	0.687937501	0.460490292
159	0.44	29.21	2	1	1	0.91186863	0.120294497
158	0.02	16.44	3	1	1	0.458650756	0.695739205
157	0.3	24.16	4	1	1	0.857765598	0.16076688
156	0.17	12.1	5	1	1	0.789521376	0.263943629
165	0.29	8.84	1	1	1	0.927392201	0.098147605
164	0.26	21.87	2	1	1	0.917853831	0.10367945
163	0.04	12.46	3	1	1	0.757595338	0.375621409
162	0.3	29.3	4	1	1	0.912330396	0.103149693
161	0.11	18.49	5	1	1	0.874637595	0.179020448
170	0.23	29.67	1	1	1	0.919924343	0.113334678
169	0.2	21.53	2	1	1	0.913505283	0.122573757
168	0.08	26.97	3	1	1	0.858751042	0.236356539
167	0.38	19.52	4	1	1	0.900065214	0.102010954
166	0.11	11.87	5	1	1	0.858562579	0.196866658
175	0.13	36.01	1	1	1	0.89466036	0.184110568
174	0.22	33.83	2	1	1	0.910685639	0.121174919
173	0.18	27.31	3	1	1	0.896211283	0.14101221
172	0.1	18.62	4	1	1	0.874342578	0.201740482
171	0.37	6.79	5	1	1	0.896500937	0.114795463
180	0.19	21.96	1	1	1	0.882102797	0.20098072
179	0.04	6.61	2	1	1	0.621993443	0.544735488
178	0.16	16.33	3	1	1	0.867698175	0.225557897
177	0.46	34.45	4	1	1	0.597052265	0.122850785
176	0.15	22.69	5	1	1	0.814820816	0.249084788
185	0.03	45.52	1	1	1	0.505428415	0.658235532
184	0.08	26.43	2	1	1	0.732352831	0.418197178
183	0.16	39.71	3	1	1	0.862421839	0.239686041
182	0.3	20.71	4	1	1	0.879412308	0.154673841
181	0.43	6.09	5	1	1	0.862458954	0.166486104
190	0.17	8.65	1	1	1	0.925384225	0.103813735
189	0.36	17.06	2	1	1	0.920483896	0.077149551
188	0.24	24.15	3	1	1	0.90574576	0.093084159
187	0.04	9.41	4	1	1	0.849545551	0.240845096
186	0.19	15.77	5	1	1	0.88929184	0.117071286
194	0.084210526	25.15	1	1	1	0.891599536	0.189355685
192	0.294736842	28.03	3	1	1	0.926692161	0.082765415
191	0.621052632	15.2	4	1	1	0.900106832	0.088303072
200	0.11	6.99	1	1	1	0.908686223	0.149326275
199	0.3	15.01	2	1	1	0.932066179	0.081989392
198	0.36	23.3	3	1	1	0.926897265	0.077282063
197	0.04	12.02	4	1	1	0.83129287	0.2624541
196	0.19	20.48	5	1	1	0.902106762	0.112947765
205	0.03	8.96	1	1	1	0.71468175	0.428262433
204	0.14	25.18	2	1	1	0.913291079	0.137668167
203	0.32	33.62	3	1	1	0.937224074	0.07702104
202	0.26	25.64	4	1	1	0.916069402	0.093255978
201	0.25	17.35	5	1	1	0.903816649	0.106606125
210	0.31	9.54	1	1	1	0.927498661	0.098200502
