discharge [m?/s]									
YYYY	MM	DD	HH	480	0	0	0	0	0
YYYY	MM	DD	HH	284792	0	0	0	0	0
YYYY	MM	DD	HH	4674623	0	0	0	0	0
YYYY	MM	DD	HH	Capella	Cabecera	Carrasquero	Ceguera	Villacarli	Lascuarre
2009	1	1	0	4.84	-9999	-9999	-9999	-9999	-9999
2009	1	1	1	4.84	-9999	-9999	-9999	-9999	-9999
2009	1	1	2	4.84	-9999	-9999	-9999	-9999	-9999
2009	1	1	3	4.84	-9999	-9999	-9999	-9999	-9999
2009	1	1	4	4.78	-9999	-9999	-9999	-9999	-9999
2009	1	1	5	4.58	-9999	-9999	-9999	-9999	-9999
2009	1	1	6	4.58	-9999	-9999	-9999	-9999	-9999
2009	1	1	7	4.58	-9999	-9999	-9999	-9999	-9999
2009	1	1	8	4.58	-9999	-9999	-9999	-9999	-9999
2009	1	1	9	4.58	-9999	-9999	-9999	-9999	-9999
2009	1	1	10	4.58	-9999	-9999	-9999	-9999	-9999
2009	1	1	11	4.58	-9999	-9999	-9999	-9999	-9999
2009	1	1	12	4.58	-9999	-9999	-9999	-9999	-9999
2009	1	1	13	4.58	-9999	-9999	-9999	-9999	-9999
2009	1	1	14	4.58	-9999	-9999	-9999	-9999	-9999
2009	1	1	15	4.45	-9999	-9999	-9999	-9999	-9999
2009	1	1	16	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	1	17	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	1	18	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	1	19	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	1	20	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	1	21	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	1	22	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	1	23	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	0	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	1	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	2	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	3	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	4	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	5	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	6	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	7	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	8	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	9	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	10	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	11	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	12	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	13	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	14	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	15	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	16	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	17	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	18	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	19	4.32	-9999	-9999	-9999	-9999	-9999
2009	1	2	20	4.2	-9999	-9999	-9999	-9999	-9999
2009	1	2	21	4.08	-9999	-9999	-9999	-9999	-9999
2009	1	2	22	4.08	-9999	-9999	-9999	-9999	-9999
2009	1	2	23	4.08	-9999	-9999	-9999	-9999	-9999
2009	1	3	0	4.08	-9999	-9999	-9999	-9999	-9999
2009	1	3	1	4.08	-9999	-9999	-9999	-9999	-9999
2009	1	3	2	4.08	-9999	-9999	-9999	-9999	-9999
2009	1	3	3	4.08	-9999	-9999	-9999	-9999	-9999
