Specification of which SVCs are contained in each TC
TC-ID[-]	SVC-ID[-]	fraction[-]
19	120317	0.029
19	129118	0.027
19	120316	0.026
19	129113	0.019
19	77210	0.011
19	1120303	0.008
19	120318	0.007
20	77217	0.084
20	109917	0.08
20	120303	0.08
20	1116503	0.071
20	77218	0.053
20	120817	0.044
20	77210	0.042
20	129118	0.034
20	116503	0.031
20	120318	0.031
20	77213	0.023
20	77216	0.022
20	120317	0.02
20	129112	0.016
20	1120303	0.012
20	120316	0.009
21	77217	0.187
21	116503	0.123
21	109912	0.09
21	1116503	0.078
21	77221	0.067
21	77213	0.066
21	76709	0.058
21	77210	0.042
21	1090012	0.034
21	120303	0.029
21	120317	0.028
21	127012	0.023
21	116518	0.019
21	129103	0.019
21	1120803	0.018
21	1109912	0.017
21	77209	0.015
21	1116512	0.015
21	1077210	0.014
21	109918	0.014
21	76713	0.012
21	116512	0.009
21	90012	0.008
22	77217	0.205
22	116503	0.162
22	77213	0.136
22	109912	0.074
22	1116503	0.054
22	109918	0.04
22	120817	0.039
22	76713	0.036
22	120303	0.034
22	116512	0.023
22	129103	0.022
22	77210	0.019
22	120312	0.019
22	77209	0.017
22	76717	0.016
22	76709	0.016
22	120803	0.013
22	116518	0.011
22	1077213	0.01
22	1109912	0.009
22	77216	0.009
22	1120803	0.006
23	77213	0.141
23	116503	0.14
23	77217	0.138
23	109918	0.07
23	77210	0.067
23	77218	0.056
23	109917	0.048
23	120303	0.044
23	120817	0.041
23	1116503	0.033
23	116518	0.021
23	109912	0.02
23	116512	0.019
23	1109912	0.017
23	1077213	0.016
23	120803	0.016
23	120312	0.014
23	76717	0.014
23	129110	0.013
23	1109918	0.011
23	106903	0.01
23	1106903	0.009
23	76718	0.009
23	77216	0.009
23	129118	0.008
23	120816	0.007
23	76713	0.007
24	77210	0.147
24	77213	0.126
24	116503	0.099
24	109917	0.089
24	109918	0.072
24	77217	0.068
24	120303	0.061
24	77218	0.059
24	116518	0.039
24	120817	0.035
24	106903	0.031
24	129110	0.022
24	76718	0.02
24	109912	0.017
24	1106903	0.017
24	77216	0.016
24	120803	0.015
24	106918	0.014
24	120818	0.01
24	76710	0.009
24	1106918	0.009
24	116512	0.009
24	120816	0.008
24	106917	0.007
25	77210	0.167
25	77213	0.108
25	109917	0.1
25	120303	0.065
25	116503	0.065
25	109918	0.062
25	77217	0.062
25	77218	0.046
25	116518	0.037
25	120817	0.034
25	106903	0.032
25	106917	0.03
25	106918	0.026
25	1106918	0.022
25	76718	0.022
25	129110	0.021
25	77216	0.019
25	76710	0.016
25	120803	0.013
25	109912	0.012
25	1106903	0.011
25	120818	0.01
25	120816	0.009
25	116512	0.007
25	116517	0.006
26	1106903	0.206
26	116512	0.101
26	77217	0.087
26	1116503	0.071
26	1109912	0.061
26	127012	0.057
26	76709	0.05
26	77213	0.035
26	77210	0.029
26	120303	0.023
26	1090012	0.022
26	116517	0.022
26	1106909	0.021
26	1106917	0.017
26	120318	0.016
26	77209	0.016
26	120317	0.015
26	1120803	0.015
26	109912	0.014
26	1106918	0.011
26	1120303	0.011
26	120312	0.01
26	90017	0.009
26	76710	0.009
26	120818	0.009
26	120316	0.008
26	1120310	0.008
26	1106910	0.007
26	1120818	0.007
26	1106913	0.007
27	1106903	0.167
27	77217	0.122
27	116512	0.093
27	1106917	0.062
27	1116503	0.058
27	77213	0.057
27	76709	0.055
27	120303	0.044
27	1106918	0.044
27	120312	0.037
27	116517	0.032
27	109912	0.03
27	1090012	0.028
27	127012	0.027
27	1106909	0.027
27	1109912	0.026
27	1106916	0.017
27	120318	0.017
27	120317	0.016
27	106903	0.011
27	1120303	0.01
27	120316	0.009
27	1116518	0.007
28	1106903	0.126
28	77217	0.116
28	1106917	0.1
28	116512	0.08
28	120312	0.049
28	120303	0.048
28	77213	0.041
28	1116503	0.04
28	1106916	0.036
28	76709	0.033
28	1106909	0.03
28	1106918	0.029
28	109912	0.025
28	76713	0.022
28	1116518	0.02
28	1090012	0.018
28	116503	0.017
28	120317	0.016
28	116517	0.016
28	116518	0.015
28	120318	0.015
28	106903	0.012
28	77216	0.012
28	1120303	0.012
28	1090010	0.011
28	1109912	0.01
28	106909	0.009
28	77210	0.008
28	120817	0.007
28	106916	0.006
28	106918	0.006
29	77217	0.111
29	1106917	0.102
29	1106903	0.095
29	116512	0.082
29	1106916	0.047
29	116503	0.045
29	120312	0.044
29	120303	0.036
29	76713	0.029
29	76709	0.028
29	1116518	0.027
29	1120303	0.027
29	77216	0.025
29	77213	0.025
29	116518	0.024
29	1106909	0.024
29	106916	0.02
29	1106918	0.019
29	109912	0.017
29	1116503	0.016
29	120317	0.016
29	120318	0.014
29	1090010	0.014
29	106918	0.014
29	116516	0.014
29	77210	0.012
29	1090012	0.011
29	120817	0.01
29	106909	0.008
29	109910	0.008
29	120316	0.006
29	1109912	0.006
30	77217	0.112
30	1106917	0.092
30	1106903	0.079
30	116512	0.076
30	1106916	0.06
30	116503	0.048
30	120303	0.044
30	116518	0.04
30	120312	0.032
30	76713	0.029
30	1120303	0.029
30	77216	0.028
30	106916	0.027
30	76709	0.026
30	116516	0.025
30	77213	0.022
30	106917	0.02
30	106918	0.019
30	1090010	0.019
30	1116518	0.018
30	120317	0.016
30	120318	0.014
30	109910	0.014
30	109912	0.014
30	1106909	0.013
30	106909	0.012
30	77210	0.01
30	120316	0.009
30	1106918	0.008
30	120818	0.007
30	1090012	0.006
30	120817	0.006
31	116503	0.125
31	77213	0.112
31	1120303	0.078
31	77217	0.074
31	120303	0.065
31	120317	0.061
31	116512	0.061
31	77210	0.05
