Specification of which SVCs are contained in each TC
TC-ID[-]	SVC-ID[-]	fraction[-]
10	127017	0.008
10	109901	0.008
10	129117	0.008
10	109951	0.007
10	1109918	0.006
11	116501	0.086
11	116518	0.074
11	109918	0.066
11	120301	0.06
11	129118	0.057
11	106918	0.054
11	120318	0.053
11	1116501	0.053
11	1106901	0.05
11	109917	0.041
11	1106918	0.034
11	77218	0.032
11	116517	0.03
11	129101	0.025
11	106917	0.025
11	1116518	0.019
11	120317	0.019
11	76718	0.017
11	5050	0.016
11	109901	0.016
11	106916	0.015
11	129117	0.015
11	1116517	0.013
11	127018	0.013
11	1120801	0.013
11	77210	0.01
11	1106917	0.01
11	1106913	0.01
11	129113	0.01
11	1090018	0.008
11	129116	0.008
11	120801	0.008
11	120817	0.008
11	120316	0.007
11	1090017	0.007
11	109916	0.007
11	106901	0.006
11	120818	0.006
12	116501	0.104
12	109918	0.08
12	120318	0.077
12	106918	0.072
12	120301	0.058
12	116518	0.058
12	129118	0.047
12	129117	0.042
12	106917	0.039
12	1116501	0.038
12	1106918	0.034
12	83218	0.029
12	109917	0.029
12	116517	0.026
12	106901	0.024
12	5050	0.023
12	116513	0.018
12	129101	0.018
12	1106901	0.017
12	120817	0.017
12	76718	0.017
12	1106917	0.016
12	120317	0.015
12	1116517	0.012
12	106916	0.012
12	76717	0.011
12	1109913	0.01
12	120818	0.01
12	1120801	0.009
12	120316	0.008
12	109913	0.006
12	129151	0.006
12	1109918	0.006
12	77217	0.006
12	1116518	0.006
13	116501	0.123
13	106918	0.087
13	120318	0.085
13	109918	0.076
13	129118	0.06
13	120301	0.046
13	106901	0.039
13	1106918	0.037
13	109917	0.034
13	116518	0.034
13	83218	0.033
13	116517	0.032
13	1116501	0.032
13	106917	0.032
13	129117	0.03
13	120818	0.021
13	1116517	0.02
13	5050	0.02
13	120317	0.019
13	76718	0.017
13	129101	0.016
13	76717	0.014
13	1109918	0.011
13	1106916	0.011
13	120801	0.009
13	120817	0.009
13	120316	0.008
13	129116	0.008
13	1106917	0.007
13	90018	0.007
13	1109913	0.006
13	1116513	0.006
13	1109901	0.006
13	106916	0.006
14	106918	0.109
14	116501	0.077
14	120318	0.071
14	106917	0.065
14	129118	0.057
14	109918	0.053
14	106901	0.047
14	120301	0.045
14	116518	0.045
14	129117	0.038
14	109917	0.036
14	83218	0.033
14	1116501	0.029
14	116517	0.027
14	106916	0.026
14	120317	0.026
14	120818	0.023
14	109916	0.022
14	76718	0.016
14	5050	0.016
14	120817	0.015
14	129101	0.012
14	76717	0.012
14	120801	0.011
14	1109917	0.011
14	1106918	0.01
