Prespecified Sediment delivery ratio [0-1] for Landscape units		
lu_id	sdr
1	7.11477993761472E-3
2	7.37712503039593E-3
3	6.79648407550311E-3
4	6.73198430804087E-3
5	6.63316295801121E-3
6	7.09353752658379E-3
7	7.31163956706872E-3
8	6.93692111836823E-3
9	6.59977628000545E-3
10	7.63652057259524E-3
11	7.66885560605875E-3
12	4.86451558968187E-3
13	8.5190960112227E-3
14	5.45883435652295E-3
15	6.7994714005463E-3
16	7.82838154083738E-3
17	6.45684136620909E-3
18	6.93784008963037E-3
19	5.65372507959829E-3
20	5.36935904711289E-3
21	4.44321122541115E-3
22	5.30418311945655E-3
23	6.21511688689482E-3
24	5.82115044903225E-3
25	4.67055181158963E-3
26	5.43103432159847E-3
27	4.10685299687318E-3
28	4.61043696311629E-3
29	6.14919487391517E-3
30	3.80590396308148E-3
31	4.52380053582578E-3
32	3.88836150532426E-3
33	6.37739870429733E-3
34	4.10227411267892E-3
35	4.9033924245603E-3
36	4.41502574819292E-3
37	5.66145443366038E-3
38	4.74050405560916E-3
39	3.49675937508146E-3
40	4.76960010920958E-3
41	4.09022573775148E-3
42	4.63324869858272E-3
43	4.80594622582365E-3
44	3.80116455344515E-3
45	4.25164396500321E-3
46	5.05558275664269E-3
47	3.53410696966959E-3
48	5.13497487092464E-3
49	0.003737488970257
50	4.32779293772844E-3
51	4.35515981149694E-3
52	5.05145499511207E-3
53	3.66894755443764E-3
54	6.63008069643214E-3
55	2.67325833951127E-3
56	3.49982071730158E-3
57	3.64208550958172E-3
58	4.0589113088814E-3
59	3.82298306621756E-3
60	5.00128348205815E-3
61	3.98413711030971E-3
62	4.02234231230621E-3
63	5.67677773460306E-3
64	2.41353251698423E-3
65	4.16337996787952E-3
66	4.38314719479919E-3
67	4.5714272941027E-3
68	3.91227084589437E-3
69	2.92515548270421E-3
70	3.92037066257937E-3
71	4.51037685940838E-3
72	4.99597703804812E-3
73	5.43743449473284E-3
74	5.50316476980748E-3
75	5.89509228373557E-3
76	5.78192683052398E-3
77	5.3378939847817E-3
78	5.95687132708102E-3
79	6.31746969349232E-3
80	5.07695849804894E-3
81	6.91464591206514E-3
82	6.62430354199854E-3
83	4.7797378143865E-3
84	5.39276874022239E-3
85	5.99999999999057E-3
86	5.68816561331379E-3
87	5.98364720726145E-3
88	5.01814193658779E-3
89	5.43432285875137E-3
90	3.79802367314144E-3
91	3.29667772483418E-3
92	3.98347628441552E-3
93	4.5459335005059E-3
94	5.4402934307707E-3
95	4.8613580387783E-3
96	3.61272454739416E-3
97	4.07288823266303E-3
98	6.42575455714096E-3
99	4.03309899047463E-3
100	7.3065225551844E-3
101	4.07216836199452E-3
102	4.2101093443204E-3
103	4.95111481043066E-3
104	5.83928488571285E-3
105	5.34125805316041E-3
106	6.38885044783409E-3
107	5.3375244783709E-3
108	6.15138891458943E-3
109	6.64474697886067E-3
110	5.05312494366761E-3
111	6.83034283748313E-3
112	0.011480811276856
