Specification of terrain components
TC-ID	fraction	slope[%]	position[-]
275	0.31	29.97	1
274	0.14	25.11	2
273	0.14	30.05	3
272	0.18	25.34	4
271	0.23	12.33	5
280	0.03	15.39	1
279	0.46	32.06	2
278	0.22	26.71	3
277	0.24	19.64	4
276	0.05	11.28	5
285	0.05	48.92	1
284	0.22	41.79	2
283	0.14	28.87	3
282	0.32	17.97	4
281	0.27	4.51	5
290	0.09	39.54	1
289	0.06	11.52	2
288	0.04	43.88	3
287	0.6	26.42	4
286	0.21	15.02	5
295	0.27	33.91	1
294	0.02	68.37	2
293	0.08	36.28	3
292	0.3	15.31	4
291	0.33	6.66	5
300	0.35	16.67	1
299	0.28	31.77	2
298	0.04	15.55	3
297	0.14	39.22	4
296	0.19	19.53	5
305	0.13	5.67	1
304	0.22	16.36	2
303	0.2	23.27	3
302	0.24	33.38	4
301	0.21	19.1	5
310	0.19	30.81	1
309	0.4	27.22	2
308	0.08	18.1	3
307	0.28	20.21	4
306	0.05	21.04	5
315	0.11	4.07	1
314	0.08	21.16	2
313	0.02	1.95	3
312	0.2	11.97	4
311	0.59	18.21	5
320	0.43	22.81	1
319	0.1	32.08	2
318	0.18	24.71	3
317	0.22	15.57	4
316	0.07	7.22	5
325	0.01	81.54	1
324	0.34	44.24	2
323	0.06	2.47	3
322	0.04	63.79	4
321	0.55	28.04	5
330	0.23	23.75	1
329	0.04	5.78	2
328	0.46	29.68	3
327	0.18	39.16	4
326	0.09	26.83	5
335	0.27	13.43	1
334	0.14	2.1	2
333	0.28	27.03	3
332	0.06	35.5	4
331	0.25	26.67	5
340	0.21	36.02	1
339	0.04	61.43	2
338	0.06	44.08	3
337	0.24	29.68	4
336	0.45	9.18	5
345	0.03	42.21	1
344	0.12	7.1	2
343	0.06	25.05	3
342	0.54	41.89	4
341	0.25	3.74	5
350	0.25	45.2	1
349	0.08	74.82	2
348	0.42	54.86	3
347	0.08	34.1	4
346	0.17	7.05	5
355	0.39	6.62	1
354	0.06	10.63	2
353	0.04	4.5	3
352	0.48	9.38	4
351	0.03	10.72	5
360	0.11	27.68	1
359	0.18	39.58	2
358	0.34	33.49	3
357	0.24	25.78	4
356	0.13	11.34	5
365	0.052083333333333	51.76	1
364	0.22916666666667	30.17	2
362	0.45833333333333	47.91	4
361	0.26041666666667	26.79	5
370	0.01	1.43	1
369	0.7	36.51	2
368	0.12	28.11	3
367	0.12	15.72	4
366	0.05	5.48	5
375	0.43	16.01	1
374	0.34	28.51	2
373	0.1	16.55	3
372	0.06	43.03	4
371	0.07	20.13	5
380	0.19	40.46	1
379	0.5	46.52	2
378	0.12	31.5	3
377	0.08	22.68	4
376	0.11	11.27	5
385	0.11	25.42	1
384	0.14	35.51	2
383	0.36	21.99	3
382	0.24	28.06	4
381	0.15	14.66	5
390	0.09	17.95	1
389	0.18	7.36	2
388	0.16	24.79	3
387	0.38	36.38	4
386	0.19	26.06	5
395	0.01	53.38	1
394	0.36	32.43	2
393	0.22	27.95	3
392	0.34	20.12	4
391	0.07	13.24	5
400	0.01	26.41	1
